smiles,prediction,faithfulness_score,validation_passed,n_claims,score_causal,score_grounding,parse_failed
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.6601082682609558,0.0,False,3,1.0,0.0,False
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](OC)[C@@H](C)O5)[C@@H](OC(=O)O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,0.7709599733352661,0.0,False,3,0.0,0.0,False
CC(C)CCOC(=O)c1ccccc1,0.6604259610176086,0.0,False,3,1.0,0.0,False
CC(C)COC(=O)c1ccccc1O,0.7396264672279358,0.0,False,3,1.0,0.0,False
CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,0.5284005999565125,0.0,False,3,1.0,0.0,False
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,0.9419375061988831,0.0,False,3,1.0,0.0,False
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.9832131862640381,0.5773502691896257,False,3,1.0,0.3333333333333333,False
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.9482024908065796,0.0,False,3,0.0,0.3333333333333333,False
F[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,0.9999918937683105,0.0,False,3,0.0,0.0,False
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.9657278656959534,0.0,False,3,1.0,0.0,False
Brc1nc2ccccc2s1,0.7212277054786682,0.0,False,3,0.0,0.0,False
N#CCc1ccccc1,0.5143569111824036,0.0,False,2,1.0,0.0,False
CN1CC(O)C2=C/C(=N/NC(N)=O)C(=O)C=C21,0.5213086009025574,0.0,False,3,0.0,0.0,False
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.9993036985397339,0.0,False,3,0.0,0.0,False
N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2Br)c(Br)c1,0.535699188709259,0.0,False,3,1.0,0.0,False
O=C(Cl)/C=C/C(=O)Cl,0.5052267909049988,0.0,False,3,1.0,0.0,False
O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,0.9916107058525085,0.0,False,3,0.0,0.0,False
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[n-]2)c1C,0.7798203229904175,0.0,False,3,0.0,0.0,False
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,0.7420463562011719,0.5773502691896257,False,3,1.0,0.3333333333333333,False
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0.7199091911315918,0.5773502691896257,False,3,1.0,0.3333333333333333,False
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,0.8157967329025269,0.0,False,3,1.0,0.0,False
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0.7207825183868408,0.0,False,3,0.5,0.0,False
CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.9972338080406189,0.0,False,3,1.0,0.0,False
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.9975281357765198,0.0,False,3,0.0,0.0,False
O=P(O)(Oc1ccccc1)Oc1ccccc1,0.9439112544059753,0.0,False,3,0.0,0.0,False
O=C(Oc1ccccc1)c1ccccc1,0.9210373163223267,0.0,False,3,0.0,0.6666666666666666,False
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0.8001341223716736,0.408248290463863,False,3,0.5,0.3333333333333333,False
Cc1cc(C2(c3cc(C)c(O)cc3C)OS(=O)(=O)c3ccccc32)c(C)cc1O,0.9430157542228699,0.0,False,3,0.0,0.0,False
Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,0.5801283121109009,0.0,False,3,1.0,0.0,False
CCCCOC(=O)c1ccc(N)cc1,0.7820743322372437,0.5773502691896257,False,3,1.0,0.3333333333333333,False
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.8884687423706055,0.0,False,3,0.0,0.3333333333333333,False
Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,0.627717137336731,0.0,False,3,1.0,0.0,False
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,0.9214168190956116,0.0,False,3,1.0,0.0,False
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.7623677849769592,0.0,False,3,0.0,0.0,False
N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,0.891973078250885,0.0,False,3,0.0,0.0,False
COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,0.9852686524391174,0.0,False,3,0.5,0.0,False
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,0.7361819744110107,0.0,False,3,0.5,0.0,False
CCCC[n+]1ccc(C)cc1.O=S(=O)([O-])C(F)(F)F,0.5193822383880615,0.0,False,3,0.0,0.0,False
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,0.9506115317344666,0.0,False,3,0.0,0.3333333333333333,False
CCC(C)Nc1ccc(NC(C)CC)cc1,0.6665888428688049,0.0,False,3,1.0,0.0,False
O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,0.6180229783058167,0.0,False,3,0.0,0.3333333333333333,False
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0.84683758020401,0.0,False,3,1.0,0.0,False
Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,0.8173534274101257,0.0,False,3,0.0,0.3333333333333333,False
CCOC(=O)NNc1nncc2ccccc12,0.8151507377624512,0.0,False,3,1.0,0.0,False
CCN(CC)Cc1nccn1-c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,0.563582718372345,0.0,False,3,0.0,0.0,False
CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.9827035665512085,0.0,False,4,0.5,0.0,False
CC=CC=NNC(=O)c1ccncc1,0.6184819340705872,0.0,False,3,1.0,0.0,False
O=C1C(=O)c2ncccc2-c2cccnc21,0.8962362408638,0.0,False,3,0.0,0.0,False
Nc1ccc(C(=O)Nc2ccccc2N)cc1,0.9739142656326294,0.0,False,3,0.6666666666666666,0.0,False
C[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,0.5760504603385925,0.0,False,3,0.0,0.0,False
